_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5822962,PGE,3/30/2025 8:32:00 PM,3/31/2025 12:00:00 PM,POLE FIRE,13,6570200.94921875,18299.8849295116,TULARE,Active,Not Planned,2748942,2025-03-31 20:53:07
2,5822963,PGE,3/31/2025 4:26:09 AM,3/31/2025 2:00:00 PM,PLNND SHUTDOWN,65,42489.91015625,1005.61998431069,CONTRA COSTA,Active,Planned,2749213,2025-03-31 20:53:07
3,5822964,PGE,3/31/2025 4:27:23 AM,3/31/2025 5:45:00 PM,PATROLLING,1,14478.9453125,540.226909409583,KINGS,Active,Not Planned,2749214,2025-03-31 20:53:07
4,5822965,PGE,3/31/2025 4:28:00 AM,3/31/2025 12:00:00 PM,PLNND SHUTDOWN,13,20335.46484375,838.032161156868,SAN MATEO,Active,Planned,2749215,2025-03-31 20:53:07
5,5822966,PGE,3/31/2025 8:19:35 AM,3/31/2025 12:15:00 PM,,1,18398.3828125,550.616185455512,SAN MATEO,Active,Not Planned,2749283,2025-03-31 20:53:07
6,5822967,PGE,3/31/2025 5:18:17 AM,3/31/2025 2:15:00 PM,,1,222658.25390625,2498.94861207591,SAN JOAQUIN,Active,Not Planned,2749223,2025-03-31 20:53:07
7,5822968,PGE,3/31/2025 5:44:13 AM,3/31/2025 11:15:00 AM,,15,52423.171875,979.082233784178,MERCED,Active,Not Planned,2749242,2025-03-31 20:53:07
8,5822969,PGE,3/31/2025 8:47:10 AM,3/31/2025 12:30:00 PM,PATROLLING,1,55586.82421875,1527.38095090666,MARIN,Active,Not Planned,2749286,2025-03-31 20:53:07
9,5822970,PGE,3/31/2025 9:36:42 AM,,,1,460765.05078125,3275.0112316895,NAPA,Active,Not Planned,2749293,2025-03-31 20:53:07
10,5822971,PGE,3/30/2025 6:37:51 PM,3/31/2025 3:00:00 PM,TREE CONTACT,1,14252.71484375,504.033452055532,ALAMEDA,Active,Not Planned,2748828,2025-03-31 20:53:07
11,5822972,PGE,3/30/2025 11:12:00 PM,3/31/2025 11:30:00 AM,REPLCE TXFMR,4,48010.7890625,987.565883896717,MONTEREY,Active,Not Planned,2749057,2025-03-31 20:53:07
12,5822973,PGE,3/31/2025 4:12:42 AM,3/31/2025 1:00:00 PM,PLNND SHUTDOWN,8,1026.80859375,128.418591424675,SAN FRANCISCO,Active,Planned,2749209,2025-03-31 20:53:07
13,5822974,PGE,3/31/2025 4:19:55 AM,3/31/2025 1:00:00 PM,,244,45948.19140625,1253.56381932573,SAN FRANCISCO,Active,Not Planned,2749211,2025-03-31 20:53:07
14,5822975,PGE,3/31/2025 9:31:29 AM,,,22,24295.74609375,631.09531139161,KERN,Active,Not Planned,2749291,2025-03-31 20:53:07
15,5822976,PGE,3/30/2025 8:10:00 AM,3/31/2025 1:00:00 PM,CAR POLE,200,499019.08203125,6463.80961864616,SANTA CRUZ,Active,Not Planned,2748508,2025-03-31 20:53:07
16,5822977,PGE,3/30/2025 11:07:52 PM,3/31/2025 11:30:00 AM,REPLCE TXFMR,1,609492.0390625,3385.41322415907,MONTEREY,Active,Not Planned,2749056,2025-03-31 20:53:07
17,5822978,PGE,3/31/2025 3:07:52 AM,3/31/2025 11:00:00 AM,REPLCE TXFMR,2,21132.78125,1397.42217539608,SAN JOAQUIN,Active,Not Planned,2749191,2025-03-31 20:53:07
18,5822979,PGE,3/31/2025 5:20:55 AM,3/31/2025 3:00:00 PM,,1,6686.86328125,336.391248202349,SANTA CLARA,Active,Not Planned,2749226,2025-03-31 20:53:07
19,5822980,PGE,3/31/2025 8:15:00 AM,3/31/2025 12:15:00 PM,PATROLLING,1,15277.7578125,639.114948298311,SAN MATEO,Active,Not Planned,2749275,2025-03-31 20:53:07
20,5822981,PGE,3/31/2025 8:17:00 AM,3/31/2025 1:15:00 PM,,1,1657.57421875,179.535543820174,SAN MATEO,Active,Not Planned,2749274,2025-03-31 20:53:07
21,5822982,PGE,3/31/2025 9:17:41 AM,3/31/2025 6:30:00 PM,,68,80603.87890625,1228.79700785656,SANTA CLARA,Active,Not Planned,2749290,2025-03-31 20:53:07
22,5822983,PGE,3/28/2025 3:50:45 PM,3/28/2025 10:00:00 PM,PLNND SHUTDOWN,1,8830.0234375,382.788331638924,ALAMEDA,Active,Planned,2747179,2025-03-31 20:53:07
23,5822984,PGE,3/31/2025 3:43:50 AM,3/31/2025 2:00:00 PM,TREE CONTACT,48,10713787.0234375,25012.9662880983,HUMBOLDT,Active,Not Planned,2749202,2025-03-31 20:53:07
24,5822985,PGE,3/31/2025 4:09:06 AM,3/31/2025 1:00:00 PM,PLNND SHUTDOWN,20,8292.93359375,367.919382194094,ALAMEDA,Active,Planned,2749208,2025-03-31 20:53:07
25,5822986,PGE,3/31/2025 4:18:37 AM,3/31/2025 1:15:00 PM,,85,12493.4140625,480.776693352032,SAN FRANCISCO,Active,Not Planned,2749210,2025-03-31 20:53:07
26,5822987,PGE,3/31/2025 7:45:03 AM,3/31/2025 11:15:00 AM,PATROLLING,13,23357.578125,682.103460444646,SAN JOAQUIN,Active,Not Planned,2749270,2025-03-31 20:53:07
27,5822988,PGE,3/31/2025 9:34:39 AM,,,1,4599.0078125,349.482308714529,YOLO,Active,Not Planned,2749292,2025-03-31 20:53:07
28,5822989,PGE,3/31/2025 4:13:30 AM,3/31/2025 1:00:00 PM,PLNND SHUTDOWN,104,15758.765625,611.04887057028,SAN FRANCISCO,Active,Planned,2749207,2025-03-31 20:53:07
29,5822990,PGE,3/31/2025 2:58:00 AM,3/31/2025 11:15:00 AM,BRKN POLE,7,2724535.26171875,12751.5295970861,SHASTA,Active,Not Planned,2749178,2025-03-31 20:53:07
30,5822991,PGE,3/31/2025 5:49:00 AM,3/31/2025 11:30:00 AM,DAMGE UG CABLE,12,18357.15625,660.385699568293,CONTRA COSTA,Active,Not Planned,2749243,2025-03-31 20:53:07
31,5822992,PGE,3/31/2025 8:58:27 AM,3/31/2025 1:45:00 PM,,6,443273.29296875,3062.30137088603,MONTEREY,Active,Not Planned,2749289,2025-03-31 20:53:07
