_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5832106,PGE,3/31/2025 7:42:25 PM,4/1/2025 1:15:00 AM,STORM,41,389177.94140625,4007.7351287146,HUMBOLDT,Active,Not Planned,2749861,2025-04-02 03:27:42
2,5832107,PGE,4/1/2025 5:00:00 AM,4/1/2025 1:04:00 PM,BRKN POLE,2,2063.3203125,183.749686773713,SANTA CLARA,Active,Not Planned,2750376,2025-04-02 03:27:42
3,5832108,PGE,4/1/2025 5:38:21 AM,4/1/2025 3:45:00 PM,BRKN POLE,9,28456.30078125,763.774413831583,FRESNO,Active,Not Planned,2750377,2025-04-02 03:27:42
4,5832109,PGE,4/1/2025 5:47:00 AM,4/1/2025 12:00:00 PM,PLNND SHUTDOWN,5,123249.76171875,2069.04464109181,SAN MATEO,Active,Planned,2750388,2025-04-02 03:27:42
5,5832110,PGE,4/1/2025 7:33:19 AM,4/1/2025 5:45:00 PM,,2,608239.53515625,4112.6763177923,SAN MATEO,Active,Not Planned,2750402,2025-04-02 03:27:42
6,5832111,PGE,4/1/2025 9:33:33 AM,4/1/2025 3:45:00 PM,,29,96949.25,1880.41092523719,SANTA CRUZ,Active,Not Planned,2750417,2025-04-02 03:27:42
7,5832112,PGE,4/1/2025 3:12:10 AM,4/1/2025 1:15:00 PM,,12,15516.19140625,498.572959769912,SANTA CLARA,Active,Not Planned,2750281,2025-04-02 03:27:42
8,5832113,PGE,4/1/2025 3:42:48 AM,4/1/2025 9:45:00 AM,PATROLLING,16,31432.62109375,738.43686353216,YUBA,Active,Not Planned,2750312,2025-04-02 03:27:42
9,5832114,PGE,4/1/2025 5:36:17 AM,4/1/2025 11:00:00 AM,PLNND SHUTDOWN,1,12368.2890625,454.31790925305,MADERA,Active,Planned,2750381,2025-04-02 03:27:42
10,5832115,PGE,4/1/2025 9:04:49 AM,4/1/2025 7:15:00 PM,PATROLLING,10,28861784.4960938,29715.7817670296,SANTA BARBARA,Active,Not Planned,2750412,2025-04-02 03:27:42
