_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5738773,PGE,3/19/2025 3:34:47 PM,3/19/2025 11:00:00 PM,PLNND SHUTDOWN,2,38104.30859375,942.473812868203,YOLO,Active,Planned,2739094,2025-03-21 06:05:51
2,5738774,PGE,3/19/2025 4:14:00 PM,3/19/2025 9:00:00 PM,PLNND SHUTDOWN,3,389241.5625,3022.80962765931,PLACER,Active,Planned,2739194,2025-03-21 06:05:51
3,5738775,PGE,3/19/2025 7:36:32 PM,3/20/2025 8:00:00 PM,DAMGE UG CABLE,1,82107.51171875,1252.38806177711,SOLANO,Active,Not Planned,2739422,2025-03-21 06:05:51
4,5738776,PGE,3/20/2025 1:30:00 AM,3/20/2025 11:30:00 AM,PATROLLING,14,8077253.6171875,24707.7285075279,HUMBOLDT,Active,Not Planned,2739838,2025-03-21 06:05:51
5,5738777,PGE,3/20/2025 3:51:46 AM,3/20/2025 11:45:00 AM,BRKN POLE,3,9057.0859375,486.740720447613,SANTA CLARA,Active,Not Planned,2739902,2025-03-21 06:05:51
6,5738778,PGE,3/20/2025 6:34:04 AM,3/20/2025 7:00:00 PM,REPLCE TXFMR,1,1343.2109375,167.259011145067,ALAMEDA,Active,Not Planned,2739935,2025-03-21 06:05:51
7,5738779,PGE,3/20/2025 6:35:09 AM,3/20/2025 9:30:00 PM,CAR POLE,25,165440.109375,3416.77479641426,SOLANO,Active,Not Planned,2739938,2025-03-21 06:05:51
8,5738780,PGE,3/20/2025 8:27:00 AM,3/20/2025 4:15:00 PM,,5,9710419.67578125,17013.8731367704,KINGS,Active,Not Planned,2739946,2025-03-21 06:05:51
9,5738781,PGE,3/20/2025 9:00:00 AM,3/20/2025 7:00:00 PM,PATROLLING,240,20696671.8945313,40222.8875956311,PLACER,Active,Not Planned,2739974,2025-03-21 06:05:51
10,5738782,PGE,3/20/2025 2:57:21 AM,3/20/2025 12:00:00 PM,EMERG REPAIRS,32,46435.00390625,1273.84925280737,SANTA BARBARA,Active,Not Planned,2739879,2025-03-21 06:05:51
