_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5771944,PGE,3/24/2025 6:09:55 PM,3/25/2025 9:30:00 PM,REPAIR WIRE DWN,1,14672.4140625,484.099658637943,MONTEREY,Active,Not Planned,2743352,2025-03-25 16:04:33
2,5771945,PGE,3/24/2025 9:45:13 PM,3/25/2025 11:00:00 AM,THRD PARTY,15,6801400.296875,15277.0509446158,FRESNO,Active,Not Planned,2743604,2025-03-25 16:04:33
3,5771946,PGE,3/25/2025 1:43:43 AM,3/25/2025 10:00:00 AM,,1,28650.3203125,714.823911639462,CONTRA COSTA,Active,Not Planned,2743793,2025-03-25 16:04:33
4,5771947,PGE,3/25/2025 4:11:00 AM,3/25/2025 1:00:00 PM,PLNND SHUTDOWN,13,37596.27734375,883.314378986189,MONTEREY,Active,Planned,2743877,2025-03-25 16:04:33
5,5771948,PGE,3/25/2025 4:28:21 AM,3/25/2025 9:30:00 AM,BRKN POLE EQUIPMNT,2,770366.16015625,5120.6085092146,MONTEREY,Active,Not Planned,2743880,2025-03-25 16:04:33
6,5771949,PGE,3/25/2025 5:22:00 AM,3/25/2025 1:00:00 PM,EMERG REPAIRS,17,47603.76171875,1485.98191830139,SAN JOAQUIN,Active,Not Planned,2743899,2025-03-25 16:04:33
7,5771950,PGE,3/25/2025 5:46:53 AM,3/25/2025 9:45:00 AM,REPLCE TXFMR,2,13374.671875,455.483299975072,MADERA,Active,Not Planned,2743903,2025-03-25 16:04:33
8,5771951,PGE,3/25/2025 7:24:56 AM,3/25/2025 9:45:00 AM,EMERG REPAIRS,1,49121.859375,977.49120236809,FRESNO,Active,Not Planned,2743924,2025-03-25 16:04:33
9,5771952,PGE,3/22/2025 3:31:00 PM,3/30/2025 9:30:00 PM,,2,72507.14453125,1151.92961249051,SAN LUIS OBISPO,Active,Not Planned,2741673,2025-03-25 16:04:33
10,5771953,PGE,3/24/2025 4:55:17 PM,3/26/2025 9:30:00 PM,,82,17226.9921875,552.991701350783,SANTA CLARA,Active,Not Planned,2743266,2025-03-25 16:04:33
11,5771954,PGE,3/25/2025 2:38:00 AM,3/25/2025 11:00:00 AM,FU BLWN BRKN,7,589803.4375,5965.90793542718,SANTA CRUZ,Active,Not Planned,2743831,2025-03-25 16:04:33
12,5771955,PGE,3/25/2025 3:07:00 AM,3/25/2025 1:00:00 PM,PLNND SHUTDOWN,1,2850.2265625,226.605588945262,SONOMA,Active,Planned,2743864,2025-03-25 16:04:33
