_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5842013,PGE,4/2/2025 2:10:53 AM,4/2/2025 12:15:00 PM,Awaiting Investigation,7,7749194.91796875,12805.1844533513,KERN,Active,Not Planned,2751410,2025-04-02 10:53:58
2,5842014,PGE,4/2/2025 2:18:22 AM,4/2/2025 11:30:00 AM,STORM,1,113160.609375,1979.09424104592,HUMBOLDT,Active,Not Planned,2751413,2025-04-02 10:53:58
3,5842015,PGE,4/2/2025 3:58:03 AM,4/2/2025 5:30:00 PM,REPLCE TXFMR,1,14061.390625,684.908007227381,NAPA,Active,Not Planned,2751463,2025-04-02 10:53:58
4,5842016,PGE,4/2/2025 6:50:51 AM,4/2/2025 11:15:00 AM,DAMGE UG CABLE,1,13915.83203125,497.94120388111,KERN,Active,Not Planned,2751504,2025-04-02 10:53:58
5,5842017,PGE,4/1/2025 4:02:04 PM,4/2/2025 2:00:00 PM,PLNND SHUTDOWN,29,50651.703125,928.587682938711,MARIN,Active,Planned,2750655,2025-04-02 10:53:58
6,5842018,PGE,4/2/2025 12:20:00 AM,4/2/2025 10:30:00 PM,PATROLLING,40,80799.4140625,1623.64868924937,FRESNO,Active,Not Planned,2751318,2025-04-02 10:53:58
7,5842019,PGE,4/2/2025 2:02:03 AM,4/2/2025 5:00:00 PM,PATROLLING,1,42023.38671875,1593.06673373956,SANTA CRUZ,Active,Not Planned,2751402,2025-04-02 10:53:58
8,5842020,PGE,4/2/2025 3:15:55 AM,,Awaiting Investigation,3,16936.828125,579.836768313424,MERCED,Active,Not Planned,2751445,2025-04-02 10:53:58
9,5842021,PGE,4/1/2025 3:37:57 PM,4/1/2025 11:30:00 PM,PLNND SHUTDOWN,3,35981.71484375,1035.57674218932,NAPA,Active,Planned,2750605,2025-04-02 10:53:58
10,5842022,PGE,4/1/2025 7:51:23 PM,4/2/2025 11:00:00 AM,CAR POLE,46,1643154.72265625,9960.7466479308,EL DORADO,Active,Not Planned,2750941,2025-04-02 10:53:58
11,5842023,PGE,4/1/2025 11:47:06 PM,4/2/2025 11:00:00 AM,REPLCE TXFMR,3,32588.31640625,1201.9998323749,KERN,Active,Not Planned,2751273,2025-04-02 10:53:58
12,5842024,PGE,4/1/2025 11:58:55 PM,4/2/2025 11:25:00 AM,REPLCE TXFMR,1,242017.67578125,1968.53434296466,MADERA,Active,Not Planned,2751290,2025-04-02 10:53:58
13,5842025,PGE,4/2/2025 12:11:11 AM,4/2/2025 9:45:00 AM,REPLCE TXFMR,19,23489.89453125,683.985134331563,MONTEREY,Active,Not Planned,2751306,2025-04-02 10:53:58
14,5842026,PGE,4/2/2025 2:02:28 AM,4/2/2025 12:37:00 PM,CAR POLE,305,148669.13671875,3897.5813300194,ALAMEDA,Active,Not Planned,2751403,2025-04-02 10:53:58
15,5842027,PGE,4/2/2025 6:17:08 AM,4/2/2025 2:15:00 PM,,19,3786625.40234375,9661.63997761715,SOLANO,Active,Not Planned,2751498,2025-04-02 10:53:58
16,5842028,PGE,4/2/2025 7:01:44 AM,,BRKN POLE,4,16054.41015625,690.572229712938,TUOLUMNE,Active,Not Planned,2751505,2025-04-02 10:53:58
17,5842029,PGE,3/31/2025 5:49:38 PM,4/7/2025 9:08:00 PM,EMERG REPAIRS,3,6466341.66015625,20352.34924612,AMADOR,Active,Not Planned,2749743,2025-04-02 10:53:58
18,5842030,PGE,4/1/2025 4:08:29 PM,4/1/2025 11:00:00 PM,PLNND SHUTDOWN,28,32182.3359375,740.549068292174,FRESNO,Active,Planned,2750676,2025-04-02 10:53:58
19,5842031,PGE,4/1/2025 9:56:08 PM,4/2/2025 11:30:00 AM,CAR POLE,4,23052.08984375,1015.0506457047,EL DORADO,Active,Not Planned,2751121,2025-04-02 10:53:58
20,5842032,PGE,4/1/2025 10:10:50 PM,4/2/2025 12:00:00 PM,REPLCE TXFMR,2,123056.62109375,2204.31078232781,MADERA,Active,Not Planned,2751139,2025-04-02 10:53:58
21,5842033,PGE,4/1/2025 11:37:05 PM,4/2/2025 11:00:00 PM,DAMGE UG CABLE,1,5000.16796875,310.814596095161,SAN FRANCISCO,Active,Not Planned,2751259,2025-04-02 10:53:58
22,5842034,PGE,4/2/2025 12:08:00 AM,4/2/2025 1:00:00 PM,REPAIR WIRE DWN,19,4400608.51953125,14991.93881308,KINGS,Active,Not Planned,2751302,2025-04-02 10:53:58
23,5842035,PGE,4/2/2025 1:01:11 AM,,STORM,1,23903.80859375,944.096579275788,MADERA,Active,Not Planned,2751364,2025-04-02 10:53:58
24,5842036,PGE,4/2/2025 3:20:00 AM,4/2/2025 10:30:00 AM,Awaiting Investigation,7,864779.98046875,7733.52409037066,KERN,Active,Not Planned,2751444,2025-04-02 10:53:58
25,5842037,PGE,4/2/2025 3:32:34 AM,4/2/2025 10:01:00 AM,CAR POLE,22,4751.22265625,419.265833454036,ALAMEDA,Active,Not Planned,2751450,2025-04-02 10:53:58
26,5842038,PGE,4/2/2025 3:33:23 AM,4/2/2025 10:02:00 AM,CAR POLE,13,11893.7734375,469.898570520198,ALAMEDA,Active,Not Planned,2751451,2025-04-02 10:53:58
27,5842039,PGE,4/2/2025 5:45:15 AM,4/2/2025 1:00:00 PM,,1,6134.37890625,316.121476451546,SOLANO,Active,Not Planned,2751492,2025-04-02 10:53:58
28,5842040,PGE,4/2/2025 9:18:10 AM,4/2/2025 1:45:00 PM,PATROLLING,21,20208.16015625,826.522010490129,ALAMEDA,Active,Not Planned,2751545,2025-04-02 10:53:58
29,5842041,PGE,4/1/2025 1:09:00 PM,4/2/2025 11:00:00 AM,REPAIR WIRE DWN,13,15403.05078125,806.294012521898,SANTA CLARA,Active,Not Planned,2750487,2025-04-02 10:53:58
30,5842042,PGE,4/1/2025 3:40:38 PM,4/1/2025 11:30:00 PM,PLNND SHUTDOWN,5,163915.375,2138.80126135593,NAPA,Active,Planned,2750615,2025-04-02 10:53:58
31,5842043,PGE,4/1/2025 3:41:26 PM,4/2/2025 2:00:00 PM,PLNND SHUTDOWN,5,7897.72265625,422.448241860978,MARIN,Active,Planned,2750616,2025-04-02 10:53:58
32,5842044,PGE,4/1/2025 5:01:10 PM,4/2/2025 9:00:00 PM,PLNND SHUTDOWN,4,498173.2734375,2984.23164705201,FRESNO,Active,Planned,2750766,2025-04-02 10:53:58
33,5842045,PGE,4/1/2025 6:15:00 PM,4/2/2025 12:00:00 PM,CAR POLE,5,722441.0546875,3391.50546541733,KERN,Active,Not Planned,2750848,2025-04-02 10:53:58
34,5842046,PGE,4/1/2025 9:39:42 PM,4/2/2025 11:00:00 PM,EMERG REPAIRS,5,325812.4765625,2464.06576040947,LASSEN,Active,Not Planned,2751086,2025-04-02 10:53:58
35,5842047,PGE,4/1/2025 9:44:46 PM,4/2/2025 2:30:00 AM,STORM,22,22057.75,627.041553714887,MENDOCINO,Active,Not Planned,2751098,2025-04-02 10:53:58
36,5842048,PGE,4/1/2025 11:17:55 PM,4/2/2025 11:00:00 AM,,1,17759.04296875,561.732945270744,CALAVERAS,Active,Not Planned,2751235,2025-04-02 10:53:58
37,5842049,PGE,4/2/2025 6:12:59 AM,,Awaiting Investigation,1,2003920.4453125,6326.35751704219,TULARE,Active,Not Planned,2751496,2025-04-02 10:53:58
38,5842050,PGE,4/2/2025 6:15:41 AM,4/2/2025 2:00:00 PM,REPLCE TXFMR,1,13087.0234375,675.41909572405,LAKE,Active,Not Planned,2751497,2025-04-02 10:53:58
39,5842051,PGE,4/2/2025 9:54:45 AM,,STORM,1,3858.0234375,277.079156502733,TUOLUMNE,Active,Not Planned,2751546,2025-04-02 10:53:58
40,5842052,PGE,4/1/2025 10:28:00 PM,4/2/2025 12:00:00 PM,BRKN POLE EQUIPMNT,1,9852.2421875,416.446031301279,FRESNO,Active,Not Planned,2751247,2025-04-02 10:53:58
41,5842053,PGE,4/1/2025 11:38:36 PM,4/2/2025 10:00:00 AM,BRKN POLE EQUIPMNT,43,27531.75,724.202778225087,ALAMEDA,Active,Not Planned,2751260,2025-04-02 10:53:58
42,5842054,PGE,4/2/2025 1:19:04 AM,,REPLCE SRVC,12,14321.02734375,499.416029405126,FRESNO,Active,Not Planned,2751387,2025-04-02 10:53:58
43,5842055,PGE,4/2/2025 7:47:00 AM,4/2/2025 11:15:00 AM,PATROLLING,1127,205262734.144531,352582.87256227,YOLO,Active,Not Planned,2751532,2025-04-02 10:53:58
44,5842056,PGE,4/2/2025 9:57:00 AM,4/2/2025 12:30:00 PM,STORM,43,6798495.9296875,27715.6349092627,KERN,Active,Not Planned,2751547,2025-04-02 10:53:58
45,5842057,PGE,4/1/2025 6:43:00 PM,4/2/2025 7:00:00 PM,POLE FIRE,7,8267809.4296875,16680.7797499522,KERN,Active,Not Planned,2750865,2025-04-02 10:53:58
46,5842058,PGE,4/2/2025 2:07:23 AM,4/2/2025 12:01:00 PM,CAR POLE,482,245026.5703125,4519.97399862969,ALAMEDA,Active,Not Planned,2751407,2025-04-02 10:53:58
47,5842059,PGE,4/2/2025 12:31:38 AM,4/2/2025 11:00:00 AM,,1,23016.4453125,985.601390067156,CALAVERAS,Active,Not Planned,2751418,2025-04-02 10:53:58
48,5842060,PGE,4/2/2025 6:11:34 AM,4/2/2025 1:00:00 PM,PLNND SHUTDOWN,1,7383.28125,341.683897851693,KERN,Active,Planned,2751495,2025-04-02 10:53:58
49,5842061,PGE,4/2/2025 7:37:46 AM,4/2/2025 2:02:00 PM,REPLCE TXFMR,1,457593.32421875,3014.59495181109,MADERA,Active,Not Planned,2751516,2025-04-02 10:53:58
50,5842062,PGE,4/2/2025 3:00:00 AM,4/2/2025 10:01:00 AM,CAR POLE,1,33762.3125,796.712801609327,ALAMEDA,Active,Not Planned,2751434,2025-04-02 10:53:58
51,5842063,PGE,4/2/2025 3:51:04 AM,4/2/2025 3:00:00 PM,BRKN POLE EQUIPMNT,2,256053.359375,2422.51942290132,CALAVERAS,Active,Not Planned,2751461,2025-04-02 10:53:58
52,5842064,PGE,4/2/2025 5:02:06 AM,,Awaiting Investigation,1,2292041.9921875,6332.92638739775,TULARE,Active,Not Planned,2751482,2025-04-02 10:53:58
53,5842065,PGE,4/2/2025 5:08:40 AM,4/2/2025 11:30:00 AM,REPAIR WIRE DWN,7,1426128.70703125,6066.32692387811,SOLANO,Active,Not Planned,2751485,2025-04-02 10:53:58
54,5842066,PGE,4/2/2025 7:06:41 AM,4/2/2025 11:00:00 AM,PATROLLING,110,256265.62890625,3218.7378153668,MARIN,Active,Not Planned,2751507,2025-04-02 10:53:58
