_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
39,5809916,PGE,3/28/2025 5:25:14 PM,3/29/2025 6:00:00 AM,PLNND SHUTDOWN,93,109296.734375,1606.24266328225,NAPA,Active,Planned,2747341,2025-03-29 16:35:30
40,5809917,PGE,3/28/2025 6:40:51 PM,3/29/2025 7:01:00 AM,DAMGE UG CABLE,1,18601.703125,619.171845256881,SANTA CLARA,Active,Not Planned,2747409,2025-03-29 16:35:30
41,5809918,PGE,3/28/2025 9:09:02 PM,3/29/2025 2:45:00 AM,,1,32573.03515625,762.261451941131,FRESNO,Active,Not Planned,2747520,2025-03-29 16:35:30
42,5809919,PGE,3/28/2025 10:25:23 PM,3/29/2025 4:45:00 AM,PATROLLING,1,132043.4765625,1950.9118649034,SAN JOAQUIN,Active,Not Planned,2747560,2025-03-29 16:35:30
43,5809920,PGE,3/28/2025 11:39:52 PM,3/29/2025 3:30:00 AM,PATROLLING,1,18830.18359375,569.591165642742,KERN,Active,Not Planned,2747613,2025-03-29 16:35:30
44,5809921,PGE,3/29/2025 12:01:31 AM,3/29/2025 3:15:00 AM,,1,9866.35546875,396.831554081523,ALAMEDA,Active,Not Planned,2747628,2025-03-29 16:35:30
45,5809922,PGE,3/29/2025 12:32:54 AM,3/29/2025 3:45:00 AM,,1,10183.2421875,416.623740292161,FRESNO,Active,Not Planned,2747649,2025-03-29 16:35:30
46,5809923,PGE,3/29/2025 12:36:24 AM,3/29/2025 3:45:00 AM,PATROLLING,1,16018.28515625,586.012550036218,FRESNO,Active,Not Planned,2747651,2025-03-29 16:35:30
47,5809924,PGE,3/29/2025 12:40:08 AM,3/29/2025 4:00:00 AM,,1,5567.20703125,602.306137658857,CONTRA COSTA,Active,Not Planned,2747654,2025-03-29 16:35:30
48,5809925,PGE,3/29/2025 12:51:51 AM,3/29/2025 2:00:00 AM,PLNND SHUTDOWN,94,280646.17578125,2330.77163877881,SAN BENITO,Active,Planned,2747660,2025-03-29 16:35:30
49,5809926,PGE,3/29/2025 1:07:40 AM,3/29/2025 9:30:00 AM,,5,4180025.03515625,9766.15540499802,MERCED,Active,Not Planned,2747668,2025-03-29 16:35:30
50,5809927,PGE,3/29/2025 1:20:40 AM,,,1,506233.51171875,3370.3509530278,BUTTE,Active,Not Planned,2747674,2025-03-29 16:35:30
51,5809928,PGE,3/28/2025 2:01:00 PM,3/29/2025 8:00:00 AM,EMERG REPAIRS,22,5104923.86328125,20747.0008976444,SAN MATEO,Active,Not Planned,2747043,2025-03-29 16:35:30
52,5809929,PGE,3/28/2025 3:35:34 PM,3/29/2025 2:00:00 AM,PLNND SHUTDOWN,130,58991.62109375,1297.34227197301,ALAMEDA,Active,Planned,2747145,2025-03-29 16:35:30
53,5809930,PGE,3/28/2025 3:50:45 PM,3/28/2025 10:00:00 PM,PLNND SHUTDOWN,1,8830.0234375,382.788331638924,ALAMEDA,Active,Planned,2747179,2025-03-29 16:35:30
54,5809931,PGE,3/28/2025 3:50:00 PM,3/29/2025 2:30:00 AM,PLNND SHUTDOWN,17,42450.96875,1006.70658910349,SONOMA,Active,Planned,2747206,2025-03-29 16:35:30
55,5809932,PGE,3/28/2025 4:50:11 PM,3/29/2025 12:00:00 AM,PLNND SHUTDOWN,7,4980.2265625,437.212124404156,SANTA CLARA,Active,Planned,2747301,2025-03-29 16:35:30
56,5809933,PGE,3/28/2025 8:30:27 PM,3/29/2025 6:59:00 AM,DAMGE UG CABLE,1,54285.6796875,1065.96254809269,FRESNO,Active,Not Planned,2747480,2025-03-29 16:35:30
57,5809934,PGE,3/28/2025 9:34:16 PM,3/29/2025 7:15:00 AM,,1,327481.09765625,3360.08140451377,SAN JOAQUIN,Active,Not Planned,2747535,2025-03-29 16:35:30
58,5809935,PGE,3/28/2025 9:56:21 PM,3/29/2025 3:30:00 AM,,15,21586.33203125,631.655258852659,SANTA CLARA,Active,Not Planned,2747547,2025-03-29 16:35:30
59,5809936,PGE,3/28/2025 10:36:30 PM,3/29/2025 5:30:00 AM,PATROLLING,4,28880.69921875,671.758379269373,ALAMEDA,Active,Not Planned,2747569,2025-03-29 16:35:30
60,5809937,PGE,3/29/2025 12:44:53 AM,3/29/2025 8:15:00 AM,,1,5785.921875,325.074011975332,TULARE,Active,Not Planned,2747656,2025-03-29 16:35:30
61,5809938,PGE,3/29/2025 12:59:30 AM,3/29/2025 4:30:00 AM,,1,17246.82421875,655.817584497773,HUMBOLDT,Active,Not Planned,2747667,2025-03-29 16:35:30
62,5809939,PGE,3/28/2025 3:52:00 PM,3/29/2025 7:01:00 AM,DAMGE UG CABLE,1,15626.35546875,523.373398910514,SANTA CLARA,Active,Not Planned,2747181,2025-03-29 16:35:30
63,5809940,PGE,3/28/2025 7:02:37 PM,3/29/2025 3:00:00 AM,REPLCE TXFMR,3,1442793.16796875,5039.68211329541,MERCED,Active,Not Planned,2747423,2025-03-29 16:35:30
64,5809941,PGE,3/28/2025 8:31:31 PM,3/29/2025 2:45:00 AM,REPLCE TXFMR,2,4352.74609375,273.298889806705,PLACER,Active,Not Planned,2747481,2025-03-29 16:35:30
65,5809942,PGE,3/28/2025 11:21:10 PM,3/29/2025 5:30:00 AM,REPLCE TXFMR,3,4369.76171875,364.726777444262,SHASTA,Active,Not Planned,2747600,2025-03-29 16:35:30
66,5809943,PGE,3/28/2025 11:29:26 PM,3/29/2025 8:15:00 AM,,1,29271.00390625,924.110682480202,NAPA,Active,Not Planned,2747604,2025-03-29 16:35:30
67,5809944,PGE,3/28/2025 11:50:36 PM,3/29/2025 5:00:00 AM,,1,15791.12890625,571.602868546826,ALAMEDA,Active,Not Planned,2747619,2025-03-29 16:35:30
68,5809945,PGE,3/29/2025 12:18:41 AM,3/29/2025 10:30:00 AM,PATROLLING,11,13373298.0507813,35275.807188369,SOLANO,Active,Not Planned,2747643,2025-03-29 16:35:30
69,5809946,PGE,3/29/2025 12:36:37 AM,3/29/2025 6:00:00 AM,,1,8700.140625,402.513133801517,FRESNO,Active,Not Planned,2747652,2025-03-29 16:35:30
70,5809947,PGE,3/29/2025 1:23:34 AM,,,1,6701.39453125,348.350579237883,KERN,Active,Not Planned,2747676,2025-03-29 16:35:30
71,5809948,PGE,3/28/2025 3:01:33 PM,3/28/2025 11:00:00 PM,PLNND SHUTDOWN,1,700922.87109375,3912.45739643809,SAN LUIS OBISPO,Active,Planned,2747101,2025-03-29 16:35:30
72,5809949,PGE,3/28/2025 4:06:29 PM,3/29/2025 2:00:00 AM,PLNND SHUTDOWN,20,33884.04296875,937.616783346035,SANTA CLARA,Active,Planned,2747225,2025-03-29 16:35:30
73,5809950,PGE,3/28/2025 4:14:29 PM,3/29/2025 12:00:00 AM,PLNND SHUTDOWN,3,18951.015625,1012.98540768599,SANTA CLARA,Active,Planned,2747265,2025-03-29 16:35:30
74,5809951,PGE,3/28/2025 4:30:00 PM,3/29/2025 12:30:00 AM,PLNND SHUTDOWN,54,89328.4921875,2353.48825157282,SANTA CLARA,Active,Planned,2747277,2025-03-29 16:35:30
75,5809952,PGE,3/28/2025 10:35:19 PM,3/29/2025 7:00:00 AM,PATROLLING,1,20723.27734375,658.61438131207,SAN FRANCISCO,Active,Not Planned,2747567,2025-03-29 16:35:30
76,5809953,PGE,3/28/2025 11:37:36 PM,3/29/2025 2:30:00 AM,,1,14723.05078125,612.047122204415,MONTEREY,Active,Not Planned,2747610,2025-03-29 16:35:30
77,5809954,PGE,3/29/2025 12:06:51 AM,3/29/2025 8:00:00 AM,,1,12451.98828125,491.341327686096,SAN JOAQUIN,Active,Not Planned,2747632,2025-03-29 16:35:30
78,5809955,PGE,3/29/2025 12:39:22 AM,3/29/2025 9:15:00 AM,PATROLLING,40,15626.35546875,523.373398910514,SANTA CLARA,Active,Not Planned,2747653,2025-03-29 16:35:30
