_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5758209,PGE,3/22/2025 7:44:00 PM,3/23/2025 5:00:00 AM,PATROLLING,3,235370.81640625,1979.01441801877,TUOLUMNE,Active,Not Planned,2741843,2025-03-23 21:03:40
2,5758210,PGE,3/23/2025 3:26:07 AM,3/23/2025 12:45:00 PM,PATROLLING,1,2284.68359375,192.019726274571,MENDOCINO,Active,Not Planned,2742032,2025-03-23 21:03:40
3,5758211,PGE,3/22/2025 3:31:00 PM,3/30/2025 9:30:00 PM,,2,72507.14453125,1151.92961249051,SAN LUIS OBISPO,Active,Not Planned,2741673,2025-03-23 21:03:40
4,5758212,PGE,3/23/2025 4:44:42 AM,3/23/2025 1:00:00 PM,PLNND SHUTDOWN,6,7390.265625,359.725134480594,SANTA CLARA,Active,Planned,2742050,2025-03-23 21:03:40
5,5758213,PGE,3/23/2025 5:45:06 AM,3/23/2025 11:15:00 AM,PATROLLING,2,108855.8125,1521.76908297321,SONOMA,Active,Not Planned,2742060,2025-03-23 21:03:40
6,5758214,PGE,3/23/2025 6:16:40 AM,3/23/2025 12:00:00 PM,,1,18244.5625,604.036632277275,FRESNO,Active,Not Planned,2742063,2025-03-23 21:03:40
7,5758215,PGE,3/23/2025 1:44:54 AM,3/23/2025 10:00:00 PM,REPLCE TXFMR,8,7610.83984375,349.999108346945,SANTA CLARA,Active,Not Planned,2741993,2025-03-23 21:03:40
8,5758216,PGE,3/23/2025 8:18:50 AM,3/23/2025 11:45:00 AM,PATROLLING,78,342491.25390625,2977.28812564798,MARIN,Active,Not Planned,2742124,2025-03-23 21:03:40
9,5758217,PGE,3/22/2025 9:55:55 PM,3/23/2025 6:00:00 PM,DAMGE UG CABLE,1,70720.58203125,1065.78519015673,NEVADA,Active,Not Planned,2741928,2025-03-23 21:03:40
10,5758218,PGE,3/23/2025 4:38:00 AM,3/23/2025 12:00:00 PM,PLNND SHUTDOWN,75,13115.9375,1047.50549730241,SAN MATEO,Active,Planned,2742055,2025-03-23 21:03:40
11,5758219,PGE,3/23/2025 4:04:31 AM,3/23/2025 12:00:00 PM,PLNND SHUTDOWN,17,35816.8515625,767.216364405254,SAN MATEO,Active,Planned,2742038,2025-03-23 21:03:40
12,5758220,PGE,3/23/2025 4:04:00 AM,3/23/2025 12:00:00 PM,PLNND SHUTDOWN,34,146260.83984375,2908.33756525381,PLACER,Active,Planned,2742043,2025-03-23 21:03:40
13,5758221,PGE,3/23/2025 4:22:23 AM,3/23/2025 8:00:00 AM,,29,19915.58984375,669.911849341977,SAN FRANCISCO,Active,Not Planned,2742046,2025-03-23 21:03:40
14,5758222,PGE,3/23/2025 4:48:12 AM,3/23/2025 2:00:00 PM,PLNND SHUTDOWN,297,137001.953125,2099.14982304235,ALAMEDA,Active,Planned,2742051,2025-03-23 21:03:40
15,5758223,PGE,3/23/2025 6:23:00 AM,3/23/2025 9:45:00 AM,PATROLLING,10,32809.28125,885.873311521199,FRESNO,Active,Not Planned,2742076,2025-03-23 21:03:40
16,5758224,PGE,3/23/2025 7:49:57 AM,3/23/2025 12:30:00 PM,PATROLLING,1,11982.6953125,478.702474991697,SANTA CLARA,Active,Not Planned,2742122,2025-03-23 21:03:40
17,5758225,PGE,3/22/2025 6:24:00 PM,3/23/2025 1:00:00 PM,TREE CONTACT,6,3260878.6875,12414.8184989781,MENDOCINO,Active,Not Planned,2741804,2025-03-23 21:03:40
18,5758226,PGE,3/22/2025 11:11:00 PM,3/23/2025 10:00:00 AM,REPAIR WIRE DWN,11,141207.1484375,1785.36564974376,FRESNO,Active,Not Planned,2741951,2025-03-23 21:03:40
19,5758227,PGE,3/23/2025 3:35:19 AM,3/23/2025 10:00:00 PM,BRKN POLE EQUIPMNT,1,12123120.1328125,24885.988662251,MARIN,Active,Not Planned,2742033,2025-03-23 21:03:40
20,5758228,PGE,3/23/2025 4:50:56 AM,3/23/2025 6:00:00 PM,PATROLLING,27,59343.671875,1073.55203153151,SOLANO,Active,Not Planned,2742052,2025-03-23 21:03:40
21,5758229,PGE,3/23/2025 7:13:52 AM,3/23/2025 12:00:00 PM,CAR POLE,39,13466.8671875,685.693124841014,SAN FRANCISCO,Active,Not Planned,2742118,2025-03-23 21:03:40
