_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5762518,PGE,3/22/2025 7:44:00 PM,3/23/2025 5:00:00 AM,PATROLLING,3,235370.81640625,1979.01441801877,TUOLUMNE,Active,Not Planned,2741843,2025-03-25 01:31:43
2,5762519,PGE,3/23/2025 5:23:56 PM,3/23/2025 11:45:00 PM,,1,27960.66796875,799.651340798804,MARIN,Active,Not Planned,2742301,2025-03-25 01:31:43
3,5762520,PGE,3/23/2025 11:11:00 PM,3/24/2025 1:00:00 PM,REPAIR WIRE DWN,32,2841976.50390625,17159.3085591794,HUMBOLDT,Active,Not Planned,2742576,2025-03-25 01:31:43
4,5762521,PGE,3/23/2025 11:43:00 PM,3/24/2025 10:30:00 AM,PATROLLING,7,950362.01953125,6389.00403997191,KERN,Active,Not Planned,2742674,2025-03-25 01:31:43
5,5762522,PGE,3/24/2025 5:32:28 AM,3/24/2025 11:30:00 AM,,54,135048.2734375,1937.9761444036,MARIN,Active,Not Planned,2742839,2025-03-25 01:31:43
6,5762523,PGE,3/24/2025 7:01:58 AM,3/24/2025 11:00:00 AM,PATROLLING,10,12010.33984375,439.099269782085,FRESNO,Active,Not Planned,2742846,2025-03-25 01:31:43
7,5762524,PGE,3/24/2025 7:08:00 AM,3/24/2025 2:00:00 PM,PLNND SHUTDOWN,10,11641.12890625,721.665369363111,SANTA CLARA,Active,Planned,2742855,2025-03-25 01:31:43
8,5762525,PGE,3/22/2025 3:31:00 PM,3/30/2025 9:30:00 PM,,2,72507.14453125,1151.92961249051,SAN LUIS OBISPO,Active,Not Planned,2741673,2025-03-25 01:31:43
9,5762526,PGE,3/23/2025 9:13:17 PM,3/24/2025 10:30:00 AM,DAMGE UG CABLE,10,21712.11328125,645.916953268058,KERN,Active,Not Planned,2742454,2025-03-25 01:31:43
10,5762527,PGE,3/23/2025 10:52:00 PM,3/24/2025 10:30:00 AM,FOREIGN OBJ,8,3615900.78515625,12491.9387549374,KERN,Active,Not Planned,2742527,2025-03-25 01:31:43
11,5762528,PGE,3/24/2025 1:52:48 AM,3/24/2025 1:00:00 PM,PLNND SHUTDOWN,17,161054.27734375,1799.16214932557,ALAMEDA,Active,Planned,2742765,2025-03-25 01:31:43
12,5762529,PGE,3/24/2025 4:28:00 AM,3/24/2025 12:00:00 PM,REPLCE TXFMR,1,1516.75390625,219.444838434031,SAN FRANCISCO,Active,Not Planned,2742828,2025-03-25 01:31:43
13,5762530,PGE,3/24/2025 4:50:35 AM,3/24/2025 10:00:00 AM,BRKN POLE,68,25894.6328125,685.080132848191,ALAMEDA,Active,Not Planned,2742833,2025-03-25 01:31:43
14,5762531,PGE,3/24/2025 4:52:42 AM,3/24/2025 11:05:00 AM,BRKN POLE EQUIPMNT,1,6495.390625,327.640164906647,SANTA CLARA,Active,Not Planned,2742834,2025-03-25 01:31:43
15,5762532,PGE,3/24/2025 8:35:44 AM,3/24/2025 6:45:00 PM,PATROLLING,45,32144.2265625,790.616869480742,ALAMEDA,Active,Not Planned,2742860,2025-03-25 01:31:43
16,5762533,PGE,3/23/2025 8:09:19 PM,3/24/2025 10:00:00 AM,,1,34780.28125,909.955895479579,SANTA CLARA,Active,Not Planned,2742369,2025-03-25 01:31:43
17,5762534,PGE,3/24/2025 12:18:26 AM,3/24/2025 12:00:00 PM,PATROLLING,46,42694.0234375,1084.18028142086,SONOMA,Active,Not Planned,2742688,2025-03-25 01:31:43
18,5762535,PGE,3/24/2025 4:01:00 AM,3/24/2025 12:00:00 PM,PLNND SHUTDOWN,106,295454.03125,2988.29028870625,MARIN,Active,Planned,2742825,2025-03-25 01:31:43
19,5762536,PGE,3/24/2025 4:16:00 AM,3/24/2025 12:00:00 PM,PLNND SHUTDOWN,90,171618.69140625,2955.32521789714,MARIN,Active,Planned,2742826,2025-03-25 01:31:43
20,5762537,PGE,3/24/2025 5:07:00 AM,3/24/2025 12:00:00 PM,PLNND SHUTDOWN,145,180124.2109375,2553.88948143334,MARIN,Active,Planned,2742835,2025-03-25 01:31:43
21,5762538,PGE,3/23/2025 11:14:06 PM,3/24/2025 12:30:00 PM,REPLCE TXFMR,17,23673.68359375,615.154319830799,SAN MATEO,Active,Not Planned,2742540,2025-03-25 01:31:43
22,5762539,PGE,3/24/2025 4:06:00 AM,3/24/2025 12:00:00 PM,PLNND SHUTDOWN,205,569864.9296875,4803.43962782433,MARIN,Active,Planned,2742819,2025-03-25 01:31:43
23,5762540,PGE,3/24/2025 7:51:30 AM,3/24/2025 11:30:00 AM,PATROLLING,1,13225.203125,470.081634210631,CONTRA COSTA,Active,Not Planned,2742854,2025-03-25 01:31:43
24,5762541,PGE,3/24/2025 8:07:56 AM,3/24/2025 1:30:00 PM,PATROLLING,38,1332899.2734375,5656.74397875236,PLACER,Active,Not Planned,2742857,2025-03-25 01:31:43
25,5762542,PGE,3/24/2025 8:52:59 AM,3/24/2025 1:45:00 PM,,1,9435.640625,538.173681392153,SAN MATEO,Active,Not Planned,2742861,2025-03-25 01:31:43
26,5762543,PGE,3/23/2025 9:15:00 PM,3/24/2025 1:00:00 PM,DAMGE UG CABLE,110,156816.3203125,3155.46679948242,KERN,Active,Not Planned,2742461,2025-03-25 01:31:43
