_id,OBJECTID,UtilityCompany,Start Date/Time,Estimated Restoration Date/Time,Cause,Impacted Customers,Shape__Area,Shape__Length,County,Outage Status,Outage type,Indicent ID,collection_time
1,5817135,PGE,3/29/2025 5:59:51 PM,3/30/2025 4:00:00 PM,REPLCE TXFMR,18,20951.44140625,1079.35301175713,SAN FRANCISCO,Active,Not Planned,2748378,2025-03-30 23:30:59
2,5817136,PGE,3/30/2025 8:16:11 AM,3/30/2025 3:00:00 PM,,13,16077.86328125,572.195091436457,SANTA CRUZ,Active,Not Planned,2748521,2025-03-30 23:30:59
3,5817137,PGE,3/29/2025 10:51:00 AM,3/30/2025 12:00:00 PM,CAR POLE,12,589548.0390625,4486.81119906521,SAN JOAQUIN,Active,Not Planned,2747910,2025-03-30 23:30:59
4,5817138,PGE,3/30/2025 5:39:12 AM,3/30/2025 3:00:00 PM,PLNND SHUTDOWN,38,20940.9140625,1138.88037213193,MARIN,Active,Planned,2748492,2025-03-30 23:30:59
5,5817139,PGE,3/30/2025 8:12:02 AM,3/30/2025 12:45:00 PM,,1,35810.3671875,962.997891597855,SANTA CRUZ,Active,Not Planned,2748507,2025-03-30 23:30:59
6,5817140,PGE,3/30/2025 8:16:10 AM,3/30/2025 12:45:00 PM,,20,41238.66796875,942.958482897834,SANTA CRUZ,Active,Not Planned,2748524,2025-03-30 23:30:59
7,5817141,PGE,3/30/2025 1:34:18 AM,3/30/2025 1:00:00 PM,,27,25275.84765625,907.845831418935,SAN FRANCISCO,Active,Not Planned,2748409,2025-03-30 23:30:59
8,5817142,PGE,3/30/2025 2:07:00 AM,3/30/2025 9:00:00 AM,BRKN POLE EQUIPMNT,89,99414.125,2843.27480040553,TEHAMA,Active,Not Planned,2748442,2025-03-30 23:30:59
9,5817143,PGE,3/30/2025 6:55:36 AM,3/30/2025 1:15:00 PM,PATROLLING,54,1743617.21875,13156.9757770936,MENDOCINO,Active,Not Planned,2748499,2025-03-30 23:30:59
10,5817144,PGE,3/30/2025 8:10:00 AM,3/30/2025 3:15:00 PM,PATROLLING,4865,30683680.9453125,139943.785087162,SANTA CRUZ,Active,Not Planned,2748508,2025-03-30 23:30:59
11,5817145,PGE,3/30/2025 8:10:00 AM,3/30/2025 11:15:00 AM,,1262,3291046.32421875,36480.6875561817,SANTA CRUZ,Active,Not Planned,2748510,2025-03-30 23:30:59
12,5817146,PGE,3/30/2025 9:13:57 AM,3/30/2025 1:45:00 PM,,1,11770.99609375,622.45442153448,SANTA CRUZ,Active,Not Planned,2748538,2025-03-30 23:30:59
13,5817147,PGE,3/28/2025 3:50:45 PM,3/28/2025 10:00:00 PM,PLNND SHUTDOWN,1,8830.0234375,382.788331638924,ALAMEDA,Active,Planned,2747179,2025-03-30 23:30:59
14,5817148,PGE,3/29/2025 7:45:17 PM,3/30/2025 1:00:00 PM,BRKN POLE,3,8922.953125,459.560454009707,SOLANO,Active,Not Planned,2748234,2025-03-30 23:30:59
15,5817149,PGE,3/30/2025 4:55:00 AM,3/30/2025 7:00:00 PM,PATROLLING,581,7897072.49609375,51969.8594387455,LAKE,Active,Not Planned,2748478,2025-03-30 23:30:59
16,5817150,PGE,3/30/2025 8:16:10 AM,3/30/2025 12:45:00 PM,,1,3740.76953125,342.588571120615,SANTA CRUZ,Active,Not Planned,2748522,2025-03-30 23:30:59
17,5817151,PGE,3/30/2025 8:53:08 AM,3/30/2025 12:45:00 PM,,1,21670.0859375,657.128322249305,ALAMEDA,Active,Not Planned,2748535,2025-03-30 23:30:59
18,5817152,PGE,3/29/2025 3:31:06 PM,3/29/2025 10:00:00 PM,PLNND SHUTDOWN,2,292729.21484375,2889.66826056081,SANTA CLARA,Active,Planned,2748066,2025-03-30 23:30:59
19,5817153,PGE,3/30/2025 6:15:00 AM,,EMERG REPAIRS,17,18777.87109375,634.403305993402,SONOMA,Active,Not Planned,2748495,2025-03-30 23:30:59
20,5817154,PGE,3/30/2025 8:16:10 AM,3/30/2025 12:45:00 PM,,12,33628.60546875,730.12765900753,SANTA CRUZ,Active,Not Planned,2748523,2025-03-30 23:30:59
21,5817155,PGE,3/30/2025 8:16:47 AM,3/30/2025 3:00:00 PM,,3,2278.4140625,287.90319430658,SANTA CRUZ,Active,Not Planned,2748525,2025-03-30 23:30:59
22,5817156,PGE,3/30/2025 8:20:24 AM,3/30/2025 3:00:00 PM,,1,10279.28125,424.389308461707,SANTA CRUZ,Active,Not Planned,2748528,2025-03-30 23:30:59
23,5817157,PGE,3/30/2025 8:42:50 AM,3/30/2025 12:30:00 PM,,12,64541.5390625,1022.85749459467,SAN MATEO,Active,Not Planned,2748531,2025-03-30 23:30:59
24,5817158,PGE,3/30/2025 8:47:48 AM,3/30/2025 1:45:00 PM,PATROLLING,35,33411.16796875,966.137886267799,SAN MATEO,Active,Not Planned,2748533,2025-03-30 23:30:59
25,5817159,PGE,3/30/2025 9:06:00 AM,3/30/2025 4:00:00 PM,PLNND SHUTDOWN,32,672058.15625,9570.93517981923,SONOMA,Active,Planned,2748537,2025-03-30 23:30:59
26,5817160,PGE,3/30/2025 8:20:04 AM,3/30/2025 3:00:00 PM,,1,24458.59375,798.65082981895,SANTA CRUZ,Active,Not Planned,2748527,2025-03-30 23:30:59
27,5817161,PGE,3/30/2025 8:42:50 AM,3/30/2025 12:30:00 PM,,4,64541.5390625,1022.85749459467,SAN MATEO,Active,Not Planned,2748530,2025-03-30 23:30:59
